Designator,Mid X,Mid Y,Layer,Rotation
C1,26.2000mm,-12.9000mm,Top,180
C2,22.9500mm,-22.4000mm,Top,90
C3,26.6500mm,-22.4000mm,Top,90
C4,24.0000mm,-11.0000mm,Top,90
C5,24.8000mm,-5.5000mm,Top,270
C6,7.6000mm,-24.9000mm,Top,0
C7,15.3000mm,-20.8000mm,Top,0
C8,15.3000mm,-22.6000mm,Top,0
C9,15.3000mm,-25.8000mm,Top,0
C10,15.3000mm,-27.6000mm,Top,0
C11,21.4000mm,-25.8000mm,Top,0
C13,15.4000mm,-9.2000mm,Top,180
C14,15.4000mm,-7.9000mm,Top,180
C15,15.4000mm,-10.5000mm,Top,180
C16,15.4000mm,-11.8000mm,Top,180
C17,20.0000mm,-16.0000mm,Top,270
C18,18.8000mm,-16.0000mm,Top,270
C19,24.9000mm,-9.0000mm,Top,0
C20,26.9000mm,-9.0000mm,Top,0
C21,22.9000mm,-14.4000mm,Top,0
C22,24.8000mm,-14.4000mm,Top,0
C23,14.6000mm,-41.0000mm,Top,0
C24,14.6000mm,-43.0000mm,Top,0
C25,14.6000mm,-45.0000mm,Top,0
C26,20.0000mm,-47.4000mm,Top,180
C27,26.0000mm,-50.6000mm,Top,90
C28,20.3000mm,-50.6000mm,Top,90
D1,33.2000mm,-16.4000mm,Top,90
D2,15.5000mm,-49.6000mm,Top,180
D3,9.7000mm,-40.0000mm,Top,270
FB1,18.4000mm,-25.8000mm,Top,0
FB2,23.0000mm,-49.0000mm,Top,0
J1,3.0000mm,-15.0000mm,Top,270
R1,30.9500mm,-14.9000mm,Top,180
R2,28.6000mm,-15.0000mm,Top,270
R3,23.3000mm,-5.5000mm,Top,270
R4,16.3000mm,-5.5000mm,Top,270
R5,21.8000mm,-5.5000mm,Top,270
R6,26.3000mm,-5.5000mm,Top,270
R7,27.8000mm,-5.5000mm,Top,270
R8,11.5000mm,-40.0000mm,Top,270
R9,27.5000mm,-40.4000mm,Top,0
R10,27.5000mm,-43.4000mm,Top,0
R11,27.5000mm,-46.4000mm,Top,0
U2,11.5000mm,-22.0000mm,Top,0
U3,11.5000mm,-27.0000mm,Top,0
U5,21.2000mm,-44.0000mm,Top,0
Y1,24.8000mm,-18.6000mm,Top,180
